Lng,Lat,City,Address
-73.62066,40.74229, USA-Carle Place, Cedarhurst 424 Central Avenue Cedarhurst
-84.1994,39.7581, USA-Dayton, U of Dayton-Brown St 1134 Brown Street Dayton
-105.08968,39.60616, USA-Littleton, Littleton 6149 S Balsam Way Littleton
-115.08422,36.13015, USA-Las Vegas, Las Vegas 4150 Boulder Hwy Las Vegas
-71.11408,42.3857, USA-Somerville, Southborough 154 Turnpike Road
-120.5496,46.99129, USA-Ellensburg, 1700 Canyon Rd 1614 Canyon Rd Ellensburg
-93.69776,41.62942, USA-Des Moines, Merle Hay & Douglas 3830 Merle Hay Road Des Moines
-118.46753,34.23375, USA-North Hills, Sepulveda & Nordhoff (UCO) 9002 Sepulveda Blvd. North Hills
-122.56062,45.43344, USA-Clackamas, 19th & E Baseline 1882 East Baseline Street Cornelias
-77.54818,38.93916, USA-Aldie, Giant Landover-Alexandria #232 5870 Kingstown Blvd Alexandria
-88.14253,41.85827, USA-Wheaton, Wheaton Town Center 31 Town Square Wheaton
-83.57524,35.82649, USA-Sevierville, Albertsons-Abilene #4237 4701 s 14th Street Abilene
-118.6057,34.19194, USA-Canoga Park, Target Woodland Hills/TopangaT-2143 6700 Topanga Canyon Blvd Canoga Park
-78.6969,42.89548, USA-Depew, Douglaston Plaza 242-02 61st Avenue Douglaston
-110.9432,32.22126, USA-Tucson, Safeway-Tucson #1684 1940 EAST BROADWAY ROAD Tucson
-86.16346,30.33654, USA-Santa Rosa Beach, Uptown Grayton-Intrawest 17 Uptown Grayton Cir Santa Rosa Beach
-76.6149,39.28658, USA-Baltimore, Harborplace 301 Light St Baltimore
-73.793,40.6547, USA-Jamaica, Smith Haven Mall 528 Smith Haven Mall Lake Grove
-82.25784,34.70587, USA-Simpsonville, US 17A & Berlin G. Myers 125 Angus Dr Summerville
-73.96997,40.76129, USA-New York, 60th & First 1102 1st Ave New York
-72.56846,41.76701, USA-Manchester, Spencer Street 185 Spencer St Manchester
-122.23643,47.38156, USA-Kent, Midway Crossing 23325 Pacific Highway South Kent
-105.13715,39.81248, USA-Arvada, 64th & Ward 12370 W 64th Ave Arvada
-122.62524,47.5638, USA-Bremerton, Burien DT Relocation 15824 1st Avenue South Burien
-118.06798,34.12227, USA-Arcadia, Vons-Arcadia #3208 745 E Naomi Ave Arcadia
-121.99375,37.33785, USA-Santa Clara, Homestead & Lawrence-Santa Clara 3551 Homestead Road Santa Clara
-122.36458,47.76515, USA-Seattle, Rainier Plaza 3820 Rainier Avenue South Seattle
-155.7652,19.8434, USA-Kamuela, Parker Ranch Center 67-1185 Mamalahoa Highway D108 Kamuela
-73.99527,40.73178, USA-New York, 96th & Madison 1378 Madison Avenue New York
-82.52913,35.52133, USA-Asheville, Biltmore Village 40 All Souls Crescent Street Asheville
-122.4111,37.62463, USA-San Bruno, 501 San Mateo Avenue 501 San Mateo Avenue San Bruno
-95.71951,29.78998, USA-Katy, Mason Road
-106.61476,35.13518, USA-Albuquerque, Juan Tabo 1624 Juan Tabo NE Albuquerque
-111.926,33.50957, USA-Scottsdale, Albertsons-Scottsdale #979 24442 N Scottsdale Scottsdale
-84.75423,34.01173, USA-Dallas, Kroger-Dallas #634 8876 Dallas-Acworth Hwy Dallas
-117.92835,33.70741, USA-Fountain Valley, Fountain Valle 17580 Newhope Street Fountain Valley
-117.81114,34.00107, USA-Diamond Bar, Diamond Bar & Grand 1194 Grand Avenue Diamond Bar
-78.90332,35.99, USA-Durham, Mount Moriah 5319 New Hope Commons Dr Durham
-83.34992,40.23735, USA-Marysville, Kroger-Mason #448 5100 Terra Firma Dr Mason
-117.7264,33.48615, USA-Dana Point, Dana Point 32880 Pacific Coast Highway Dana Point
-122.52369,37.94577, USA-Greenbrae, Mollie Stone-Greenbrae 270 Bon Air Shopping Center Greenbrae
-77.37556,38.92829, USA-Herndon, Worldgate Centre 13035 A Worldgate Drive Herndon
-85.8417,38.307, USA-New Albany, SR 261 & Hwy 66 7755 State Rd. 66 Newburgh
-82.65797,41.40222, USA-Sandusky, Shaker Heights 3470 Warrensville Center Road Shaker Heights
-81.6389,38.35328, USA-Charleston, Pullman Square 285 9th Street Huntington
